id,texto,tipo,subsistema,smart,ccc,trazable,verificable,no_ambiguo,comentarios
RF-1,"El sistema leerá un CSV con los campos id, date, user, source, topic, text, storing, score, sentiment, tags almacenando su contenido en un sistema de gestión de datos persistente.",Funcional,Carga de datos,KO,KO,OK,KO,KO,"Falta especificar el SGBD/almacén persistente, el esquema exacto (tipos de datos) y qué ocurre ante filas inválidas/duplicadas. Para que sea verificable: definir ruta/endpoint de carga (si aplica), validaciones mínimas y criterios de éxito/fracaso."
RF-2,"El sistema solo aceptará solicitudes a través del método HTTP GET.",Funcional,Validación de datos,OK,OK,OK,OK,OK,"Verificable: test con GET vs POST. Completar en la especificación el comportamiento ante método inválido (código/estructura de error) si queréis máxima precisión."
RF-3,"El sistema solo aceptará solicitudes con parámetros date, user y topic.",Funcional,Validación de datos,KO,KO,OK,KO,KO,"Ambiguo/incompleto: ¿son obligatorios siempre? ¿en query string? ¿admite repetidos? Falta definir formato de date, dominio de user/topic (listas/regex) y qué respuesta devuelve si falta alguno."
RF-4,"El sistema rechazará solicitudes con parámetros no reconocidos devolviendo una métrica de error correspondiente.",Funcional,Validación de datos,KO,KO,OK,KO,KO,"‘Métrica de error correspondiente’ es vago: falta catálogo de errores (p.ej., ERR_UNKNOWN_PARAM), formato (JSON) y código HTTP. Sin eso no es verificable/no ambiguo."
RF-5,"El sistema rechazará solicitudes con valores inválidos para date, user o topic devolviendo una métrica de error correspondiente.",Funcional,Validación de datos,KO,KO,OK,KO,KO,"No define qué es ‘inválido’ (formato de date, users/topics válidos) ni la métrica/código. Propuesta: definir reglas (ISO-8601, user∈{…} o regex, topic∈{…}) y respuesta de error."
RF-6,"El sistema generará observaciones en un almacén de datos a partir de las entradas recibidas.",Funcional,Generación de datos,KO,KO,OK,KO,KO,"‘Observaciones’ y ‘almacén’ no están definidos: falta esquema de observación, cuándo se generan (por cada entrada vs agregado) y dónde se guardan. Verificable si se especifica estructura y criterio de persistencia."
RF-7,"El sistema generará información derivada de cada entrada como polarity, tags y score.",Funcional,Generación de datos,KO,KO,OK,KO,KO,"Falta definición de polarity/score (rango, escala), método de cálculo, formato de tags y si se recalculan/actualizan. Sin eso no es medible ni verificable."
RF-8,"El sistema generará un resumen del contenido de las entradas seleccionadas con un máximo de 200 caracteres.",Funcional,Resumen de datos,OK,KO,OK,OK,OK,"Medible (<=200 caracteres) y verificable. Incompleto: falta definir qué significa ‘entradas seleccionadas’ (por filtros date/user/topic) y si el límite cuenta espacios/UTF-8. Añadir criterio exacto de selección."
RF-9,"El sistema generará un resumen en lenguaje natural de máximo 200 palabras describiendo el sentimiento global de las entradas seleccionadas.",Funcional,Resumen de datos,OK,KO,OK,OK,KO,"Medible (<=200 palabras) y testeable. Ambiguo: ‘sentimiento global’ requiere definir cómo se calcula/agrega y qué significa ‘palabra’ (tokenización). Añadir regla de agregación (p.ej. media de polarity/score) y conteo."
RF-10,"El sistema generará una visualización tipo gráfico de barras representando la polaridad de las entradas seleccionadas.",Funcional,Visualización,KO,KO,OK,KO,KO,"Ambiguo: ¿barras por qué eje? (por día, por topic, por bins de polaridad). Falta formato de salida (PNG/JSON), librería o estructura y criterio de agregación. Sin eso no es verificable."
RF-11,"El sistema generará recomendaciones de otros topics basadas en el análisis de las entradas seleccionadas.",Funcional,Recomendación,KO,KO,OK,KO,KO,"Muy vago: ‘recomendaciones’ y ‘basadas en’ no define algoritmo, número de recomendaciones, umbrales ni métrica. Para verificar: definir método (similitud por tags, co-ocurrencia, embeddings…), top-N y formato de salida."
RFN-1,"El sistema expondrá su funcionalidad a través de una API documentada mediante OpenAPI.",No funcional,API,OK,KO,OK,OK,OK,"Verificable: existencia de spec OpenAPI. Incompleto: falta versión, ubicación (ruta del YAML/JSON) y endpoints cubiertos. Añadir ‘se proveerá /openapi.json (o docs/)’."
RFN-2,"El sistema garantizará que las comunicaciones con la API estén protegidas mediante HTTPS o autenticación.",No funcional,Seguridad,KO,KO,OK,KO,KO,"‘HTTPS o autenticación’ es ambiguo (¿uno u otro? ¿ambos?). Falta requisito concreto (p.ej. HTTPS obligatorio + auth token). También faltan criterios verificables (TLS mínimo, tipo de auth, cabeceras)."
